Name RA Dec ForcePhot
ZTF21aatnpnl 112.27353715000001 0.6062567000000001 Done
ZTF21aaygchh 254.8919405 -17.8421679 Done
ZTF21abbxnbm 319.0197019 24.77236685 Done
ZTF21ablimml 290.9145988 -18.3614545 Done
ZTF21abrthyb 284.5223626 28.7335357 Done
ZTF21abugfqj 301.22125345 -19.057716749999997 Done
ZTF21aciubsk 271.4523062 7.8731361 Done
ZTF21acjjtmh 116.6582466 65.6310172 Done
ZTF22aaagvdj 45.61391355 19.2985064 Done
ZTF22aaknliz 260.9825742 -17.280133300000003 Done
ZTF22aaldqbz 237.4692002 -13.57734375 Done
ZTF22aalwamk 225.29262415 -6.8434456 Done
ZTF22aaoirkj 263.3027686 -14.8802998 Done
