#instrument     mjdstart    exp    flt flux   unc    sig
P200/CHIMERA    59971.21856  50.00 r    0.30  4.16   0.07 
P200/CHIMERA    59971.21914  50.00 r    1.56  4.18   0.37 
P200/CHIMERA    59971.21972  50.00 r    1.25  3.87   0.32 
P200/CHIMERA    59971.22030  50.00 r    1.20  4.00   0.30 
P200/CHIMERA    59971.22088  50.00 r    3.81  3.42   1.11 
P200/CHIMERA    59971.22146  50.00 r    1.69  3.04   0.56 
P200/CHIMERA    59971.22208  50.00 r    3.61  3.23   1.12 
P200/CHIMERA    59971.22266  50.00 r    2.31  3.14   0.74 
P200/CHIMERA    59971.22323  50.00 r    4.39  3.49   1.26 
P200/CHIMERA    59971.22381  50.00 r    1.33  3.19   0.42 
P200/CHIMERA    59971.22439  50.00 r    9.13  3.58   2.55 
P200/CHIMERA    59971.22497  50.00 r   -0.48  4.50  -0.11 
P200/CHIMERA    59971.22555  50.00 r   -1.61  3.78  -0.43 
P200/CHIMERA    59971.22613  50.00 r   -2.48  2.97  -0.84 
P200/CHIMERA    59971.22671  50.00 r    3.30  3.53   0.93 
P200/CHIMERA    59971.22729  50.00 r    3.91  4.09   0.96 
P200/CHIMERA    59971.22791  50.00 r    2.34  3.30   0.71 
P200/CHIMERA    59971.22848  50.00 r    0.29  3.44   0.09 
P200/CHIMERA    59971.22906  50.00 r    5.55  3.36   1.65 
P200/CHIMERA    59971.22964  50.00 r   -2.72  2.95  -0.92 
P200/CHIMERA    59971.23022  50.00 r    5.53  3.06   1.81 
P200/CHIMERA    59971.23080  50.00 r    3.12  2.92   1.07 
P200/CHIMERA    59971.23138  50.00 r    1.49  2.99   0.50 
P200/CHIMERA    59971.23196  50.00 r    2.54  3.63   0.70 
P200/CHIMERA    59971.23254  50.00 r    4.13  3.34   1.24 
P200/CHIMERA    59971.23311  50.00 r    1.27  2.71   0.47 
P200/CHIMERA    59971.23373  50.00 r    5.32  2.91   1.83 
P200/CHIMERA    59971.23431  50.00 r    7.04  3.03   2.32 
P200/CHIMERA    59971.23489  50.00 r    2.24  3.15   0.71 
P200/CHIMERA    59971.23547  50.00 r   -6.11  3.10  -1.97 
P200/CHIMERA    59971.23605  50.00 r   -2.60  3.20  -0.81 
P200/CHIMERA    59971.23663  50.00 r    1.11  3.25   0.34 
P200/CHIMERA    59971.23721  50.00 r    5.89  3.26   1.81 
P200/CHIMERA    59971.23779  50.00 r   -0.24  3.04  -0.08 
P200/CHIMERA    59971.23836  50.00 r    4.28  4.34   0.99 
P200/CHIMERA    59971.23894  50.00 r    2.70  6.34   0.43 
P200/CHIMERA    59971.23956  50.00 r    1.84  3.27   0.56 
P200/CHIMERA    59971.24014  50.00 r    2.32  2.99   0.78 
P200/CHIMERA    59971.24072  50.00 r    2.64  3.37   0.78 
P200/CHIMERA    59971.24130  50.00 r    2.20  3.11   0.71 
P200/CHIMERA    59971.24188  50.00 r    1.29  2.99   0.43 
P200/CHIMERA    59971.24246  50.00 r    4.29  2.92   1.47 
P200/CHIMERA    59971.24304  50.00 r   -1.52  3.16  -0.48 
P200/CHIMERA    59971.24361  50.00 r    8.33  3.43   2.43 
P200/CHIMERA    59971.24419  50.00 r   -0.25  3.06  -0.08 
P200/CHIMERA    59971.24477  50.00 r    1.32  3.06   0.43 
P200/CHIMERA    59971.24539  50.00 r    6.99  3.25   2.15 
P200/CHIMERA    59971.24597  50.00 r    0.13  2.94   0.05 
P200/CHIMERA    59971.24655  50.00 r    2.37  2.68   0.88 
P200/CHIMERA    59971.24713  50.00 r    2.37  2.92   0.81 
P200/CHIMERA    59971.24771  50.00 r   -0.75  2.90  -0.26 
P200/CHIMERA    59971.24829  50.00 r    0.35  2.96   0.12 
P200/CHIMERA    59971.24886  50.00 r    2.45  2.97   0.82 
P200/CHIMERA    59971.24944  50.00 r    0.28  3.07   0.09 
P200/CHIMERA    59971.25002  50.00 r    1.85  2.99   0.62 
P200/CHIMERA    59971.25060  50.00 r    4.93  3.40   1.45 
P200/CHIMERA    59971.25122  50.00 r    8.60  3.55   2.42 
P200/CHIMERA    59971.25180  50.00 r   -2.91  4.39  -0.66 
P200/CHIMERA    59971.25238  50.00 r    3.14  3.84   0.82 
P200/CHIMERA    59971.25296  50.00 r   -0.75  3.49  -0.22 
P200/CHIMERA    59971.25354  50.00 r   -0.57  3.20  -0.18 
P200/CHIMERA    59971.25411  50.00 r    0.83  3.49   0.24 
P200/CHIMERA    59971.25469  50.00 r   -3.40  3.29  -1.03 
P200/CHIMERA    59971.25527  50.00 r    2.06  3.25   0.63 
P200/CHIMERA    59971.25585  50.00 r   -0.93  3.18  -0.29 
P200/CHIMERA    59971.25643  50.00 r    6.09  3.62   1.68 
P200/CHIMERA    59971.25705  50.00 r    4.74  3.89   1.22 
P200/CHIMERA    59971.25763  50.00 r    1.68  3.38   0.50 
P200/CHIMERA    59971.25821  50.00 r    2.94  3.35   0.88 
P200/CHIMERA    59971.25879  50.00 r    4.12  3.14   1.31 
P200/CHIMERA    59971.25936  50.00 r    5.37  3.46   1.55 
P200/CHIMERA    59971.25994  50.00 r   -2.32  3.89  -0.60 
P200/CHIMERA    59971.26052  50.00 r    0.63  3.66   0.17 
P200/CHIMERA    59971.26110  50.00 r    1.64  3.12   0.53 
P200/CHIMERA    59971.26168  50.00 r    0.31  3.01   0.10 
P200/CHIMERA    59971.26226  50.00 r   -1.65  2.66  -0.62 
