#inst           mjdstart     exp   flt flux   unc   sig
NTT/ULTRACAM    59933.13477  19.99 r    2.10  1.29   1.63 
NTT/ULTRACAM    59933.13500  19.99 u    1.84  2.41   0.76 
NTT/ULTRACAM    59933.13500  19.99 g    0.82  0.91   0.90 
NTT/ULTRACAM    59933.13500  19.99 r    1.83  1.41   1.30 
NTT/ULTRACAM    59933.13523  19.99 u   -3.68  2.49  -1.48 
NTT/ULTRACAM    59933.13523  19.99 g    1.20  0.98   1.23 
NTT/ULTRACAM    59933.13523  19.99 r    0.20  1.28   0.16 
NTT/ULTRACAM    59933.13546  19.99 u   -1.50  2.70  -0.56 
NTT/ULTRACAM    59933.13546  19.99 g   -0.04  0.90  -0.04 
NTT/ULTRACAM    59933.13546  19.99 r   -0.02  1.30  -0.02 
NTT/ULTRACAM    59933.13569  19.99 u    2.40  2.11   1.14 
NTT/ULTRACAM    59933.13569  19.99 g    1.79  0.98   1.82 
NTT/ULTRACAM    59933.13569  19.99 r    2.14  1.42   1.51 
NTT/ULTRACAM    59933.13592  19.99 u   -0.72  2.56  -0.28 
NTT/ULTRACAM    59933.13592  19.99 g    1.39  0.94   1.47 
NTT/ULTRACAM    59933.13592  19.99 r   -0.03  1.36  -0.02 
NTT/ULTRACAM    59933.13615  19.99 u    2.17  2.34   0.93 
NTT/ULTRACAM    59933.13615  19.99 g   -0.02  1.01  -0.02 
NTT/ULTRACAM    59933.13615  19.99 r    0.31  1.22   0.25 
NTT/ULTRACAM    59933.13639  19.99 u   -3.11  2.51  -1.24 
NTT/ULTRACAM    59933.13639  19.99 g    0.82  0.99   0.83 
NTT/ULTRACAM    59933.13639  19.99 r    3.98  1.32   3.02 *
NTT/ULTRACAM    59933.13662  19.99 u   -3.42  2.53  -1.35 
NTT/ULTRACAM    59933.13662  19.99 g   -0.64  1.03  -0.63 
NTT/ULTRACAM    59933.13662  19.99 r    0.57  1.24   0.46 
NTT/ULTRACAM    59933.13685  19.99 u    1.94  2.41   0.80 
NTT/ULTRACAM    59933.13685  19.99 g    0.54  0.95   0.57 
NTT/ULTRACAM    59933.13685  19.99 r    0.24  1.35   0.18 
NTT/ULTRACAM    59933.13708  19.99 u    1.30  2.47   0.53 
NTT/ULTRACAM    59933.13708  19.99 g    0.44  1.00   0.44 
NTT/ULTRACAM    59933.13708  19.99 r   -1.32  1.28  -1.03 
NTT/ULTRACAM    59933.13731  19.99 u   -2.33  2.35  -0.99 
NTT/ULTRACAM    59933.13731  19.99 g   -0.28  0.99  -0.28 
NTT/ULTRACAM    59933.13731  19.99 r   -0.98  1.29  -0.76 
NTT/ULTRACAM    59933.13754  19.99 u    1.96  2.60   0.75 
NTT/ULTRACAM    59933.13754  19.99 g    0.60  1.00   0.60 
NTT/ULTRACAM    59933.13754  19.99 r    1.10  1.47   0.75 
NTT/ULTRACAM    59933.13778  19.99 u    1.06  2.44   0.43 
NTT/ULTRACAM    59933.13778  19.99 g    0.64  0.94   0.68 
NTT/ULTRACAM    59933.13778  19.99 r    2.03  1.38   1.47 
NTT/ULTRACAM    59933.13801  19.99 u    3.14  2.47   1.27 
NTT/ULTRACAM    59933.13801  19.99 g   -0.01  0.99  -0.01 
NTT/ULTRACAM    59933.13801  19.99 r    0.03  1.38   0.02 
NTT/ULTRACAM    59933.13824  19.99 u   -3.98  2.53  -1.57 
NTT/ULTRACAM    59933.13824  19.99 g    0.99  0.98   1.01 
NTT/ULTRACAM    59933.13824  19.99 r    1.50  1.30   1.15 
NTT/ULTRACAM    59933.13847  19.99 u   -3.70  2.52  -1.47 
NTT/ULTRACAM    59933.13847  19.99 g   -1.38  1.05  -1.31 
NTT/ULTRACAM    59933.13847  19.99 r    0.66  1.34   0.49 
NTT/ULTRACAM    59933.13870  19.99 u   -0.32  2.83  -0.11 
NTT/ULTRACAM    59933.13870  19.99 g    0.91  1.05   0.86 
NTT/ULTRACAM    59933.13870  19.99 r    1.97  1.42   1.39 
NTT/ULTRACAM    59933.13893  19.99 u    1.46  2.54   0.57 
