###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
57752.440496 -17.814  1.235  -272  336 c  0   1.09  74.64332  -8.30110  1645.16  3449.20 3.88 3.81 -84.8 -0.388 15.96 17.66 02a57752o0450c
57752.453979 -17.760  0.885  -286  253 c  0   1.07  74.64332  -8.30110  1667.32  3331.72 3.89 3.80 -82.1 -0.393 16.41 18.11 02a57752o0476c
57756.406494  23.017  6.286     2   14 c  0   0.94  74.64332  -8.30110  3860.86  2033.09 3.79 3.65  86.6 -0.393 19.81 21.83 02a57756o0400c
57756.436727 -20.582  0.723   -21   15 c  0   0.74  74.64332  -8.30110  3942.52  1992.46 3.80 3.66 -86.3 -0.392 19.79 21.79 02a57756o0452c
57756.452025  21.381  1.533    10   16 c  0   0.78  74.64332  -8.30110  3906.40  2048.42 3.87 3.73 -88.2 -0.385 19.74 21.76 02a57756o0480c
57764.387550 -19.053  1.668   -87  145 o  0   0.98  74.64332  -8.30110  2918.42  4935.09 3.61 3.54  34.6 -0.430 17.28 17.18 02a57764o0383o
57764.403036  19.298  1.391    69   96 o  0   1.22  74.64332  -8.30110  2899.11  4894.49 4.08 3.57   2.9 -0.444 17.46 17.60 02a57764o0412o
57764.419382 -18.385  2.231  -161  358 o  0   1.26  74.64332  -8.30110  2959.78  4969.82 5.73 3.69   0.6 -0.424 16.38 16.36 02a57764o0441o
57764.436478 -19.169  4.244   -78  331 o  0   1.20  74.64332  -8.30110  2982.11  4850.35 5.55 3.78   1.5 -0.386 16.42 16.38 02a57764o0470o
57768.375311  19.856  1.597    42   66 o  0   1.08  74.64332  -8.30110  3771.70  3023.51 3.53 3.44 -73.7 -0.461 17.87 18.37 02a57768o0362o
57768.392282 -15.866  0.964 -1636 1577 o  0   1.33  74.64332  -8.30110  3755.47  2984.52 3.58 3.49 -83.0 -0.431 14.63 14.43 02a57768o0393o
57768.409712  15.674  0.914  1951 1783 o  0   1.03  74.64332  -8.30110  3813.95  3060.64 3.58 3.48 -83.4 -0.417 14.76 14.53 02a57768o0424o
57768.427118 -19.351  2.584   -66  171 o  0   0.95  74.64332  -8.30110  3834.81  2942.03 3.66 3.57 -86.2 -0.426 16.91 17.12 02a57768o0455o
57768.444538 -19.002  0.780   -91   71 o  0   1.13  74.64332  -8.30110  3798.42  2997.42 3.61 3.55 -79.8 -0.428 17.92 18.49 02a57768o0486o
57776.371602  20.299  1.750    28   48 c  0   1.16  74.64332  -8.30110  2439.46  2832.45 4.03 3.84  78.1 -0.372 17.81 19.83 02a57776o0313c
57776.388257  21.276  1.313    11   15 c  0   0.96  74.64332  -8.30110  2420.63  2792.51 3.96 3.79  81.1 -0.373 19.76 21.85 02a57776o0345c
57776.405355 -18.145  1.222  -200  245 c  0   1.00  74.64332  -8.30110  2481.83  2869.28 4.03 3.88  80.2 -0.370 16.34 18.18 02a57776o0378c
