###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58080.459025 -22.945  5.750    -2   14 o  0   1.04  74.64332  -8.30110  1598.32  9612.62 3.23 2.81 -88.8 -0.445 19.41 21.20 01a58080o0561o
58082.427715  14.864  0.949  4116 3908 c  0   1.24  74.64332  -8.30110  8723.95   172.91 3.07 2.49  52.4 -0.415 13.21 14.81 02a58082o0515c
58082.437922 -17.858  2.219  -261  579 c  0   1.08  74.64332  -8.30110  1228.10  9905.91 3.09 2.66  40.1 -0.403 15.27 16.84 02a58082o0536c
58082.444073  20.606  1.375    21   29 c  0   1.05  74.64332  -8.30110  8689.46   135.49 3.15 2.69  51.2 -0.361 18.73 20.41 02a58082o0549c
58082.445981  19.888  0.970    40   39 c  0   0.78  74.64332  -8.30110  1169.85  9830.34 2.89 2.49  33.4 -0.409 18.07 19.69 02a58082o0553c
58084.407105  18.651  4.129   126  519 o  0   1.15  74.64332  -8.30110  1130.59   885.05 3.20 2.68  78.0 -0.502 15.36 16.08 01a58084o0294o
58084.414230 -18.638  1.321  -127  168 o  0   0.99  74.64332  -8.30110  1108.05   820.92 3.38 2.84  79.0 -0.480 16.89 17.70 01a58084o0309o
58084.421342 -21.107  5.824   -13   76 o  0   1.11  74.64332  -8.30110  1166.49   873.88 3.31 2.75  77.8 -0.481 17.50 18.60 01a58084o0324o
58084.426675 -18.521  1.160  -142  164 o  0   1.03  74.64332  -8.30110  3398.66 10470.93 3.06 2.74 -87.8 -0.436 16.66 17.65 01a58084o0335o
58084.428570  16.716  0.852   747  637 o  0   1.00  74.64332  -8.30110  1182.97   730.01 3.23 2.56  75.9 -0.493 15.29 16.21 01a58084o0339o
58092.417485  21.031  3.406    14   48 o  0   1.01  74.64332  -8.30110  2240.06  9093.98 3.30 2.83 -87.0 -0.442 18.43 19.29 01a58092o0502o
58092.426845  19.902  1.102    40   44 o  0   1.02  74.64332  -8.30110  2220.99  9019.36 3.24 2.99  83.9 -0.443 18.44 19.28 01a58092o0519o
58092.436192 -22.775 12.769    -3   36 o  0   1.48  74.64332  -8.30110  2278.43  9060.55 3.43 2.92  89.2 -0.433 18.35 19.22 01a58092o0536o
58092.445738 -20.362  1.155   -26   30 o  0   1.06  74.64332  -8.30110  8102.69  1361.66 3.45 2.97 -88.3 -0.439 18.50 19.40 01a58092o0553o
58096.405060  23.469 10.857     2   16 o  0   1.20  74.64332  -8.30110  2436.95   171.16 3.28 3.00  70.0 -0.417 19.18 20.66 01a58096o0483o
58096.411513  25.548 79.000     0   17 o  0   0.93  74.64332  -8.30110  5720.36   425.79 3.27 3.09  80.4 -0.429 19.10 20.61 01a58096o0495o
58096.412904  20.846  1.056    17   18 o  0   1.06  74.64332  -8.30110  7971.55 10158.02 3.60 2.94 -81.8 -0.435 19.16 20.62 01a58096o0498o
58096.419556  20.891  0.944    16   15 o  0   1.43  74.64332  -8.30110  5744.53   495.96 3.31 3.11 -88.1 -0.422 19.11 20.60 01a58096o0510o
58096.421334 -21.761  2.793    -7   20 o  0   0.82  74.64332  -8.30110  7917.37 10111.74 3.77 3.03 -81.5 -0.421 19.11 20.60 01a58096o0513o
58096.428001 -21.948  2.913    -6   18 o  0   1.01  74.64332  -8.30110  5691.16   451.36 3.57 3.42 -86.8 -0.416 19.00 20.56 01a58096o0525o
58096.429788 -20.778  1.000   -18   18 o  0   0.87  74.64332  -8.30110  7904.47 10263.74 3.73 3.17 -85.0 -0.425 19.07 20.63 01a58096o0528o
58096.436448  20.935  0.959    15   15 o  0   1.15  74.64332  -8.30110  5676.24   603.98 3.12 3.03  84.1 -0.437 19.17 20.71 01a58096o0540o
58098.404502 -20.288  0.490   -28   14 o  0   0.86  74.64332  -8.30110   322.75   427.31 2.60 1.89  29.7 -0.598 19.65 21.12 02a58098o0476o
58098.410197 -21.298  1.165   -11   13 o  0   0.94  74.64332  -8.30110  2461.90 10169.52 2.41 1.90  17.3 -0.485 19.72 21.19 02a58098o0488o
58098.411583  22.153  2.632     5   13 o  0   1.24  74.64332  -8.30110   303.71   388.85 2.47 1.77  30.5 -0.588 19.76 21.20 02a58098o0491o
58098.412039  24.172 15.667     1   12 o  0   1.01  74.64332  -8.30110  9967.14   463.76 2.41 2.03  30.7 -0.472 19.71 21.15 02a58098o0492o
58098.417238  20.964  0.718    15   11 o  0   1.17  74.64332  -8.30110  2443.31 10131.44 2.35 1.86  20.7 -0.475 19.74 21.24 02a58098o0503o
58098.418623  25.327 46.500     0   12 o  0   1.59  74.64332  -8.30110   363.78   469.91 2.42 1.75  29.8 -0.607 19.69 21.20 02a58098o0506o
58098.419079 -23.082  5.625    -2   12 o  0   1.30  74.64332  -8.30110  9949.33   426.27 2.37 1.99  32.2 -0.467 19.64 21.13 02a58098o0507o
58098.425122 -21.152  0.950   -13   12 o  0   1.16  74.64332  -8.30110  2496.97 10207.19 2.37 1.88  21.4 -0.487 19.65 21.07 02a58098o0518o
58098.426806 -20.992  1.031   -15   15 o  0   1.04  74.64332  -8.30110   379.59   349.97 2.48 1.75  30.9 -0.637 19.61 21.04 02a58098o0521o
58098.427262 -21.678  1.909    -8   15 o  0   1.11  74.64332  -8.30110 10004.60   502.59 2.36 2.04  27.9 -0.478 19.61 21.00 02a58098o0522o
58098.433283  21.094  0.823    13   11 o  0   1.07  74.64332  -8.30110  2516.58 10090.81 2.36 1.88  13.1 -0.484 19.74 21.16 02a58098o0533o
58098.435309 -22.432  3.393    -4   13 o  0   1.28  74.64332  -8.30110   446.38 10048.46 2.82 1.90  41.3 -0.484 19.71 21.14 02a58098o0537o
58100.402411 -20.685  0.606   -19   12 o  0   0.97  74.64332  -8.30110  6648.83  1699.22 3.22 2.91 -87.0 -0.427 19.43 21.36 01a58100o0484o
58100.410789 -21.049  0.788   -14   11 o  0   1.15  74.64332  -8.30110  6673.78  1771.39 3.24 2.96 -87.1 -0.423 19.44 21.41 01a58100o0499o
58100.419210  21.620  1.366     8   11 o  0   0.94  74.64332  -8.30110  6619.65  1726.96 3.16 2.88  89.5 -0.425 19.48 21.45 01a58100o0514o
58100.427870 -21.115  0.879   -13   11 o  0   0.97  74.64332  -8.30110  6605.44  1879.11 3.10 2.87 -88.0 -0.435 19.46 21.49 01a58100o0529o
58110.380516  22.245  1.857     5    8 c  0   1.07  74.64332  -8.30110  3030.44  9057.56 2.59 2.43   6.8 -0.429 19.80 21.78 02a58110o0395c
58110.408196 -21.725  1.328    -7   10 c  0   0.94  74.64332  -8.30110  3088.60  8977.05 2.55 2.42  -2.3 -0.424 19.82 21.74 02a58110o0446c
58112.358619 -20.619  0.674   -20   14 o  0   0.94  74.64332  -8.30110  2051.19  9049.39 3.20 3.13 -82.9 -0.418 19.30 21.09 01a58112o0368o
58112.366817 -23.016  5.100    -2   12 o  0   1.51  74.64332  -8.30110  8360.70  1285.42 3.48 2.97 -85.6 -0.435 19.37 21.13 01a58112o0383o
58112.375355  21.761  2.032     7   15 o  0   0.91  74.64332  -8.30110  8306.76  1241.23 3.52 3.02 -84.4 -0.431 19.37 21.17 01a58112o0398o
58112.382587  21.404  1.429    10   14 o  0   1.02  74.64332  -8.30110  2105.74  8879.66 3.90 3.49   1.4 -0.385 19.18 21.22 01a58112o0413o
58116.366855 -19.938  0.692   -38   27 o  0   1.26  74.64332  -8.30110  7841.58 10431.13 4.17 3.31 -76.9 -0.394 18.61 19.71 01a58116o0361o
58116.370648  21.435  2.611    10   25 o  0   0.99  74.64332  -8.30110  5611.52   758.63 3.73 3.39  85.4 -0.401 18.52 19.74 01a58116o0369o
58116.375027  21.872 26.864     6  174 o  0   0.05  74.64332  -8.30110  7866.63 10503.87 4.19 3.34 -77.8 -0.394 18.52 19.71 01a58116o0378o
58116.378849 -21.112  1.627   -13   21 o  0   1.02  74.64332  -8.30110  5635.76   830.76 3.36 3.01  87.8 -0.431 18.61 19.75 01a58116o0386o
58116.383156  20.399  1.137    25   29 o  0   0.99  74.64332  -8.30110  7810.83 10458.67 3.96 3.15 -77.8 -0.408 18.64 19.71 01a58116o0395o
58116.386939  25.470 98.000     0   23 o  0   1.29  74.64332  -8.30110  5581.13   786.73 3.42 3.18  82.8 -0.425 18.60 19.73 01a58116o0403o
58116.396393 -20.480  1.037   -23   24 o  0   0.94  74.64332  -8.30110  5570.13   940.29 3.36 2.91 -86.7 -0.437 18.62 19.74 01a58116o0420o
58118.369695  18.158  0.566   198  112 o  0   1.66  74.64332  -8.30110  3563.33  6899.98 2.05 1.96  -7.2 -0.562 17.48 17.47 02a58118o0138o
58118.378259  20.199  2.107    30   64 o  0   2.40  74.64332  -8.30110  3546.86  6864.48 2.06 2.03 -16.4 -0.504 17.84 17.99 02a58118o0155o
58118.387162 -20.997  2.238   -14   32 o  0   1.09  74.64332  -8.30110  3600.37  6941.09 2.11 1.97 -12.9 -0.490 18.56 18.78 02a58118o0172o
58118.396247 -19.707  0.609   -48   29 o  0   1.02  74.64332  -8.30110  3618.95  6824.36 2.01 1.94 -26.5 -0.497 18.59 18.78 02a58118o0189o
58120.414749 -19.988  1.045   -37   38 o  0   1.04  74.64332  -8.30110  8628.52  1268.69 3.50 2.59 -85.9 -0.476 18.26 18.90 01a58120o0486o
58120.422963 -19.990  1.107   -37   41 o  0   1.05  74.64332  -8.30110  8650.73  1339.27 3.71 2.79 -86.9 -0.456 18.16 18.84 01a58120o0503o
58120.432276 -19.513  0.695   -57   40 o  0   1.40  74.64332  -8.30110  8598.69  1300.16 3.72 2.90 -86.7 -0.454 18.14 18.79 01a58120o0520o
58120.441854  20.671  2.464    20   48 o  0   0.71  74.64332  -8.30110  8583.65  1456.49 3.70 2.82 -89.1 -0.461 18.11 18.75 01a58120o0537o
58122.369544 -20.423  0.960   -25   24 o  0   0.99  74.64332  -8.30110  1640.11   132.93 3.14 2.66  35.0 -0.475 18.80 19.65 02a58122o0386o
58122.375376 -19.843  0.627   -42   26 o  0   1.08  74.64332  -8.30110  3790.36  9857.93 3.04 2.77  21.2 -0.447 18.82 19.74 02a58122o0398o
58122.377753 -20.968  1.658   -15   25 o  0   1.03  74.64332  -8.30110  1623.56    93.98 3.33 2.75  38.4 -0.431 18.90 19.78 02a58122o0403o
58122.383610 -21.388  2.265   -10   23 o  0   1.20  74.64332  -8.30110  3774.10  9819.04 3.16 2.93  26.3 -0.436 18.79 19.76 02a58122o0415o
58122.386030  21.561  2.821     9   24 o  0   0.97  74.64332  -8.30110  1684.96   174.07 3.44 2.90  39.0 -0.420 18.81 19.79 02a58122o0420o
58122.392208  19.460  0.628    60   38 o  0   1.47  74.64332  -8.30110  3833.55  9898.18 3.22 3.00  15.1 -0.438 18.48 19.39 02a58122o0432o
58122.394630  21.198  7.864    12   95 o  0   0.52  74.64332  -8.30110  1705.47    55.98 3.41 2.86  38.2 -0.425 17.94 18.56 02a58122o0437o
58122.400419  19.553  0.919    55   50 o  0   1.37  74.64332  -8.30110  3855.42  9780.85 3.06 2.85  19.0 -0.462 18.02 18.69 02a58122o0449o
58124.364934 -21.177  1.309   -12   16 o  0   0.95  74.64332  -8.30110  5471.23  1119.52 2.85 2.83  69.6 -0.458 19.18 20.62 01a58124o0369o
58124.373140  23.417  8.667     2   14 o  0   1.29  74.64332  -8.30110  5494.52  1192.23 2.80 2.72 -87.1 -0.472 19.16 20.58 01a58124o0386o
58124.381441 -20.552  0.678   -22   15 o  0   1.23  74.64332  -8.30110  5420.93  1149.07 3.00 2.83 -89.9 -0.451 19.09 20.52 01a58124o0403o
58124.389728  21.522  1.604     9   14 o  0   1.24  74.64332  -8.30110  5405.35  1299.90 3.00 2.77  87.5 -0.453 19.10 20.48 01a58124o0420o
58128.357003  22.092  3.583     5   19 o  0   0.99  74.64332  -8.30110  8292.59  9527.13 5.79 4.02 -78.3 -0.283 19.18 20.97 01a58128o0237o
58128.365168 -21.004  1.312   -14   19 o  0   1.18  74.64332  -8.30110  8316.39  9599.82 5.82 4.06 -77.2 -0.287 19.16 21.03 01a58128o0254o
58128.373323 -20.479  0.778   -23   18 o  0   1.22  74.64332  -8.30110  8260.92  9554.30 5.73 3.93 -77.9 -0.294 19.20 21.05 01a58128o0271o
58128.381492  20.739  1.000    18   18 o  0   1.22  74.64332  -8.30110  8246.45  9705.12 5.84 4.02 -75.7 -0.289 19.19 21.02 01a58128o0288o
58128.387309  17.398  0.755   399  301 o  0   0.19  74.64332  -8.30110  6020.89    38.46 3.18 2.85  87.1 -0.465 19.17 21.03 01a58128o0300o
58130.361391  22.513  3.000     4   11 o  0   0.83  74.64332  -8.30110  1386.05  7158.93 2.39 2.11  27.7 -0.464 19.68 21.28 02a58130o0360o
58130.370259  21.084  0.710    13   10 o  0   1.69  74.64332  -8.30110  1368.88  7119.16 2.25 1.97  20.6 -0.465 19.72 21.27 02a58130o0377o
58130.379535  21.573  1.240     8   11 o  0   1.05  74.64332  -8.30110  1428.47  7197.08 2.27 2.05  22.9 -0.477 19.73 21.29 02a58130o0394o
58130.388089 -22.670  3.333    -3   10 o  0   1.11  74.64332  -8.30110  1451.26  7080.11 2.31 2.04  19.9 -0.465 19.69 21.36 02a58130o0411o
58132.386252  20.746  1.216    18   22 o  0   0.90  74.64332  -8.30110  8956.82  9845.56 6.14 4.24 -75.4 -0.275 19.26 21.15 01a58132o0340o
58132.391990 -25.674 66.000    -0   13 o  0   0.94  74.64332  -8.30110  6745.53   150.48 3.17 2.68  87.0 -0.474 19.22 21.11 01a58132o0352o
58132.396323 -22.934  8.600    -2   21 o  0   0.99  74.64332  -8.30110  8981.06  9925.09 6.11 4.12 -75.9 -0.291 19.23 21.11 01a58132o0361o
58132.402035  21.429  1.380    10   13 o  0   1.18  74.64332  -8.30110  6768.00   230.43 3.18 2.63  86.2 -0.485 19.24 21.14 01a58132o0373o
58132.406382 -20.458  0.894   -24   21 o  0   0.92  74.64332  -8.30110  8926.09  9886.29 6.21 4.28 -75.5 -0.272 19.19 21.12 01a58132o0382o
58132.412067 -20.544  0.590   -22   13 o  0   1.17  74.64332  -8.30110  6713.99   210.98 3.27 2.78  87.7 -0.469 19.12 21.02 01a58132o0394o
58132.416535 -22.340  5.250    -4   22 o  0   0.98  74.64332  -8.30110  8912.61 10043.39 6.29 4.40 -75.5 -0.265 19.13 20.96 01a58132o0403o
58132.422247 -21.221  1.127   -12   13 o  0   0.91  74.64332  -8.30110  6698.18   368.07 3.37 2.77  88.1 -0.466 19.08 20.88 01a58132o0415o
58134.410843  21.476  0.985     9    9 c  0   1.16  74.64332  -8.30110  2903.73  9692.79 2.62 2.35   6.8 -0.444 19.77 21.75 02a58134o0458c
58134.420820 -21.360  1.000   -10   10 c  0   1.20  74.64332  -8.30110  2886.19  9652.52 2.83 2.64   1.4 -0.449 19.63 21.73 02a58134o0479c
58134.430776 -24.091 12.833    -1   11 c  0   1.38  74.64332  -8.30110  2944.85  9730.19 2.61 2.35   2.6 -0.445 19.71 21.72 02a58134o0500c
58134.440850 -22.322  2.367    -4   10 c  0   1.17  74.64332  -8.30110  2967.59  9612.33 2.65 2.34   5.3 -0.451 19.71 21.68 02a58134o0521c
58136.384766 -20.785  0.631   -18   11 o  0   1.38  74.64332  -8.30110  5387.49  1609.03 3.28 2.90  89.4 -0.439 19.29 21.26 01a58136o0409o
58136.394867 -22.110  2.304    -5   12 o  0   1.25  74.64332  -8.30110  5429.41  1687.31 3.45 2.98  89.5 -0.431 19.20 21.23 01a58136o0430o
58136.404923 -22.712  4.077    -3   12 o  0   1.22  74.64332  -8.30110  5355.69  1648.45 3.47 3.02  89.0 -0.430 19.13 21.08 01a58136o0451o
58136.415143 -21.727  1.594    -7   12 o  0   1.47  74.64332  -8.30110  5340.39  1803.28 3.49 2.98 -88.5 -0.437 19.14 21.05 01a58136o0472o
58140.365172 -21.227  1.088   -12   13 o  0   0.90  74.64332  -8.30110  8596.86  2206.17 3.48 2.63 -87.5 -0.450 19.42 21.15 01a58140o0025o
58140.374317 -20.877  0.923   -16   15 o  0   0.71  74.64332  -8.30110  8543.56  2166.58 3.64 2.75 -88.5 -0.440 19.23 21.00 01a58140o0044o
58140.383271 -21.295  1.039   -11   12 o  0   1.46  74.64332  -8.30110  8528.20  2318.97 3.55 2.69 -85.0 -0.448 19.36 21.16 01a58140o0063o
58148.361570 -20.215  1.138   -30   34 o  0   1.58  74.64332  -8.30110  8833.76   934.01 3.94 2.87 -90.0 -0.460 18.20 19.08 01a58148o0327o
58148.370122  22.042  7.000     6   39 o  0   1.05  74.64332  -8.30110  8856.68  1007.04 4.12 2.99  89.8 -0.456 18.18 19.06 01a58148o0345o
58148.378165 -19.685  0.726   -48   35 o  0   1.24  74.64332  -8.30110  8801.08   960.35 4.09 2.94  88.8 -0.449 18.15 19.05 01a58148o0362o
58148.386699 -20.030  1.093   -35   39 o  0   1.13  74.64332  -8.30110  8783.71  1110.09 4.07 3.00 -89.6 -0.450 18.10 19.00 01a58148o0380o
58150.340949 -20.340  1.690   -26   45 o  0   1.59  74.64332  -8.30110  4428.26  6671.62 2.32 2.11  16.6 -0.526 17.98 18.32 02a58150o0024o
58150.348728  17.018  1.449   566  821 o  0   0.99  74.64332  -8.30110  4412.81  6630.18 2.16 1.95  24.7 -0.476 15.12 15.18 02a58150o0039o
58152.363082 -21.806  3.233    -7   22 o  0   1.01  74.64332  -8.30110  5279.40  1324.24 3.28 3.16  57.0 -0.429 18.61 19.91 01a58152o0138o
58152.372064 -19.674  0.464   -49   23 o  0   0.96  74.64332  -8.30110  5301.65  1396.82 3.20 2.92  81.0 -0.446 18.65 19.86 01a58152o0157o
58152.381259 -22.507  5.667    -4   20 o  0   0.98  74.64332  -8.30110  5245.98  1353.08 3.06 2.87  80.8 -0.453 18.58 19.81 01a58152o0176o
58152.390346  21.739  2.971     7   22 o  0   1.26  74.64332  -8.30110  5229.25  1502.87 3.13 3.03  64.5 -0.438 18.59 19.76 01a58152o0195o
58156.337028 -21.361  2.188   -10   23 o  0   0.94  74.64332  -8.30110  8870.47 10406.55 6.91 5.07 -74.8 -0.198 18.97 21.05 01a58156o0237o
58156.342607 -20.637  0.824   -20   17 o  0   1.26  74.64332  -8.30110  6633.63   710.53 4.39 4.04  71.8 -0.389 18.82 21.04 01a58156o0249o
58156.346886 -19.807  0.629   -43   27 o  0   1.04  74.64332  -8.30110  8894.31 10484.75 7.01 5.44 -72.8 -0.186 18.88 21.00 01a58156o0258o
58156.352566  21.852  3.077     7   20 o  0   1.15  74.64332  -8.30110  6675.03   787.59 5.00 4.57 -86.9 -0.375 18.66 20.94 01a58156o0270o
58156.356857 -20.617  1.179   -21   24 o  0   1.06  74.64332  -8.30110  8839.23 10444.60 7.08 5.54 -72.5 -0.195 18.78 20.94 01a58156o0279o
58156.362531  19.945  0.584    38   22 o  0   0.97  74.64332  -8.30110  6601.64   748.32 4.80 4.73 -72.7 -0.350 18.58 20.91 01a58156o0291o
58156.372563 -21.534  1.871    -9   16 o  0   1.24  74.64332  -8.30110  6584.84   902.88 3.80 3.19  88.1 -0.425 18.85 20.82 01a58156o0312o
58160.338711 -20.110  0.422   -33   14 o  0   0.97  74.64332  -8.30110  5170.02  3318.89 3.45 2.82  88.2 -0.422 19.17 20.83 01a58160o0294o
58160.348554 -19.700  0.272   -48   13 o  0   1.37  74.64332  -8.30110  5192.35  3394.85 3.40 2.77  89.5 -0.419 19.14 20.80 01a58160o0315o
58160.358485 -21.307  1.255   -11   14 o  0   1.10  74.64332  -8.30110  5117.30  3353.87 3.33 2.66 -89.7 -0.432 19.17 20.84 01a58160o0336o
58160.368491  21.031  0.850    14   12 o  0   1.42  74.64332  -8.30110  5101.63  3505.89 3.59 2.95  87.8 -0.408 19.07 20.85 01a58160o0357o
58164.330632 -20.587  0.655   -21   14 o  0   1.12  74.64332  -8.30110  6261.01  3150.02 3.69 2.99  88.6 -0.422 19.17 20.99 01a58164o0275o
58164.340465 -20.866  0.761   -16   12 o  0   1.05  74.64332  -8.30110  6283.78  3225.26 3.53 3.02 -86.3 -0.402 19.18 21.00 01a58164o0296o
58164.350438 -23.471 10.167    -2   15 o  0   0.91  74.64332  -8.30110  6228.99  3183.25 3.66 3.09 -89.5 -0.406 19.09 20.94 01a58164o0317o
58164.360378  23.812 13.750     1   15 o  0   1.18  74.64332  -8.30110  6212.59  3334.09 3.69 3.45 -73.9 -0.374 19.04 20.92 01a58164o0338o
58180.246243  16.178  1.079  1227 1325 o  0   0.95  74.64332  -8.30110  8491.47   685.85 3.89 3.61  81.9 -0.403 14.57 15.53 01a58180o0059o
58184.300603 -21.362  1.372   -10   14 o  0   1.16  74.64332  -8.30110  6412.05  1194.87 3.64 2.86  88.7 -0.450 19.00 20.91 01a58184o0177o
58184.309375 -20.487  0.560   -23   13 o  0   1.28  74.64332  -8.30110  6434.35  1265.32 3.55 2.77  88.5 -0.468 19.06 20.91 01a58184o0196o
58184.318669 -22.438  3.875    -4   15 o  0   1.21  74.64332  -8.30110  6378.06  1218.56 3.62 2.84  86.7 -0.453 19.02 20.89 01a58184o0216o
58184.328421 -21.599  1.857    -8   16 o  0   1.22  74.64332  -8.30110  6361.13  1367.21 3.55 2.82  88.5 -0.459 18.95 20.82 01a58184o0237o
58186.301317 -17.903  0.707  -250  177 o  0   1.09  74.64332  -8.30110  4115.36  7241.76 2.40 1.97  22.5 -0.494 16.30 17.31 02a58186o0170o
58186.310580  19.687  1.811    48   88 o  0   1.39  74.64332  -8.30110  4098.16  7202.02 2.44 1.99  24.7 -0.482 17.09 18.20 02a58186o0190o
58186.319850  18.617  5.667   130  736 o  0   1.06  74.64332  -8.30110  4157.07  7278.53 2.40 1.95  22.1 -0.485 14.99 16.04 02a58186o0210o
58188.293820  21.272  1.718    11   19 o  0   0.98  74.64332  -8.30110  7145.47  1787.54 3.43 2.66 -88.6 -0.465 18.77 20.32 01a58188o0181o
58188.303033 -18.434  0.427  -154   66 o  0   1.37  74.64332  -8.30110  7164.78  1858.56 3.64 2.76  88.4 -0.448 17.42 19.01 01a58188o0201o
58188.312265 -17.756  0.619  -287  178 o  0   0.96  74.64332  -8.30110  7109.92  1811.48 3.51 2.66  89.9 -0.466 16.32 17.89 01a58188o0221o
58188.321528 -19.330  0.739   -67   50 o  0   1.21  74.64332  -8.30110  7092.35  1957.57 3.58 2.71  88.9 -0.451 17.73 19.25 01a58188o0241o
58204.278655 -18.952  0.377   -95   36 o  0   1.04  74.64332  -8.30110  5593.82  2630.39 3.93 3.66  -6.7 -0.390 18.16 19.35 01a58204o0006o
58204.287153 -19.870  0.728   -41   30 o  0   1.36  74.64332  -8.30110  5578.00  2772.22 3.94 3.82 -11.9 -0.357 18.05 19.27 01a58204o0024o
58206.259617  21.058  1.809    14   25 o  0   0.85  74.64332  -8.30110  2059.49  6959.40 2.11 1.79  16.3 -0.529 18.73 19.15 02a58206o0102o
58206.268110 -20.184  0.716   -31   22 o  0   1.25  74.64332  -8.30110  2038.45  6920.99 2.12 1.86  17.8 -0.507 18.71 19.11 02a58206o0120o
58206.276741 -19.626  0.473   -51   24 o  0   1.34  74.64332  -8.30110  2095.17  6999.40 2.16 1.84  14.4 -0.515 18.58 19.05 02a58206o0138o
58206.284422  19.735  0.465    46   22 o  0   2.15  74.64332  -8.30110  2116.83  6882.47 2.16 1.85  14.6 -0.504 18.55 18.97 02a58206o0154o
58208.247627  21.760  9.647     7   69 o  0   1.05  74.64332  -8.30110   721.29 10454.26 4.22 3.97 -55.7 -0.401 17.74 18.70 01a58208o0006o
58220.224270  18.502  0.569   144   82 o  0   1.17  74.64332  -8.30110  6816.33  1122.85 3.45 3.00  -0.9 -0.420 17.31 17.47 01a58220o0019o
58220.227528 -18.913  0.452   -99   45 o  0   0.96  74.64332  -8.30110  6834.91  1171.10 3.34 2.97  -7.4 -0.426 17.93 18.41 01a58220o0026o
58220.233704 -20.505  1.039   -23   24 o  0   0.74  74.64332  -8.30110  6775.86  1111.23 3.07 2.99 -80.9 -0.445 18.57 19.64 01a58220o0039o
58220.242235 -20.796  1.184   -17   21 o  0   1.01  74.64332  -8.30110  6757.50  1254.03 3.16 2.99 -88.4 -0.435 18.83 20.04 01a58220o0057o
