#mjd,cal_psf_mag,psf_inst_mag_sig,psf_inst_flux,psf_inst_flux_sig,filter,exptime,zero_pt,fpa_id,ujy,dujy,pscamera
58485.37514,None,4.26107,-59.4606,253.366,w,45,25.9262,1719016,-0.20443,0.87108,GPC1
58485.38607,None,3.32455,-86.5196,287.638,w,45,25.9322,1719043,-0.29582,0.98345,GPC1
58485.39705,None,3.89079,-104.094,405.008,w,45,25.9418,1719066,-0.35277,1.37256,GPC1
58488.31986,26.0711,14.9129,42.6377,635.853,w,45,26.0126,1721924,0.13538,2.01885,GPC1
58488.33272,None,0.931407,-661.776,616.383,w,45,26.014,1721953,-2.09845,1.95451,GPC1
58488.3456,None,0.707472,-944.328,668.085,w,45,26.0153,1721980,-2.99082,2.11592,GPC1
58488.3585,None,1.3792,-492.89,679.794,w,45,26.0147,1722004,-1.56192,2.15419,GPC1
58493.30303,None,0.524895,-954.686,501.11,w,45,25.9588,1726680,-3.18514,1.67186,GPC1
58493.31451,None,0.494888,-756.182,374.225,w,45,25.9436,1726700,-2.55843,1.26614,GPC1
58493.32602,None,0.838953,-729.057,611.644,w,45,25.9716,1726733,-2.40386,2.01672,GPC1
58493.33758,None,1.2374,-599.149,741.386,w,45,25.9748,1726753,-1.96971,2.43732,GPC1
58750.48402,None,6.15848,-50.268,309.574,w,45,25.8894,1826482,-0.17878,1.10101,GPC1
58750.4964,None,3.5454,-88.9855,315.489,w,45,25.9056,1826513,-0.31179,1.10543,GPC1
58750.5088,None,4.14145,-76.707,317.679,w,45,25.9034,1826540,-0.26932,1.11536,GPC1
58750.52126,25.2155,4.88278,86.0697,420.26,w,45,25.9196,1826568,0.29771,1.45367,GPC1
58761.49287,23.9115,1.88448,291.832,549.952,w,45,25.9413,1832240,0.98946,1.86463,GPC1
58761.50419,25.8852,8.79177,46.9001,412.335,w,45,25.9301,1832266,0.16066,1.41253,GPC1
58791.51102,25.2072,4.8362,87.2857,422.131,w,45,25.9265,1850223,0.30001,1.45089,GPC1
58791.52209,None,15.6325,-30.0282,469.416,w,45,25.9218,1850247,-0.10366,1.62041,GPC1
58791.53307,None,9.04017,-46.2203,417.839,w,45,25.8868,1850275,-0.16478,1.48962,GPC1
58791.544,24.8353,5.70189,85.1475,485.502,w,45,25.5277,1850299,0.42255,2.40934,GPC1
58837.4038,25.3756,7.49088,76.1194,570.201,w,45,25.9463,1872947,0.2569,1.9244,GPC1
58837.41451,23.8838,1.85126,299.654,554.739,w,45,25.9424,1872972,1.01496,1.87895,GPC1
58837.41514,26.0467,17.0032,36.9807,628.792,w,45,25.8336,1872973,0.13846,2.35426,GPC1
58837.42588,22.3232,1.5043,200.573,301.723,w,45,23.9458,1873027,4.27307,6.428,GPC1
58837.42653,24.5209,6.75338,85.549,577.745,w,45,25.2184,1873028,0.56447,3.81209,GPC1
58869.27468,27.0539,13.7865,15.4759,213.36,w,45,25.895,1883178,0.05476,0.75492,GPC1
58869.28622,26.0751,9.93506,39.2586,390.037,w,45,25.9269,1883202,0.13488,1.34009,GPC1
58869.29802,24.5044,1.96839,164.13,323.072,w,45,25.9093,1883229,0.57313,1.12815,GPC1
58869.30961,None,2.41339,-87.7777,211.842,w,45,25.8857,1883257,-0.31325,0.756,GPC1
59134.56231,None,0.314043,-1835.08,576.293,w,45,25.9643,2015295,-6.09148,1.91298,GPC1
59134.57515,23.7922,2.32944,332.077,773.554,w,45,25.9623,2015319,1.10435,2.57252,GPC1
59134.58807,24.486,4.43621,139.653,619.53,w,45,25.7156,2015352,0.5829,2.58589,GPC1
59134.601,None,1.45047,-341.634,495.529,w,45,25.1363,2015388,-2.43124,3.52644,GPC1
59165.47523,None,0.817264,-897.495,733.49,w,45,25.9829,2033981,-2.9286,2.39344,GPC1
59166.48993,None,8.90689,-102.837,915.959,w,45,25.9807,2034700,-0.33625,2.99491,GPC1
59166.50297,22.8421,1.05206,805.148,847.067,w,45,25.9737,2034738,2.64962,2.78757,GPC1
59166.516,23.5995,1.95572,400.203,782.684,w,45,25.9722,2034761,1.31883,2.57925,GPC1
59166.52909,26.8918,40.4769,19.2789,780.349,w,45,25.9715,2034789,0.06357,2.57322,GPC1
59194.26272,None,2.43361,-144.296,351.159,w,45,25.92,2051823,-0.49893,1.2142,GPC1
59194.27521,None,13.7113,-35.0489,480.565,w,45,25.9459,2051850,-0.11833,1.62248,GPC1
59194.28776,28.5935,135.146,3.97249,536.864,w,45,25.9581,2051873,0.01326,1.7923,GPC1
59194.30047,None,1.28378,-465.035,597.005,w,45,25.9641,2051909,-1.54395,1.9821,GPC1
59229.30147,None,2.41144,-185.988,448.499,w,45,25.937,2072820,-0.6331,1.52668,GPC1
59229.31287,25.6971,10.3898,56.6542,588.626,w,45,25.9472,2072894,0.19105,1.98494,GPC1
59229.32434,None,1.92986,-362.216,699.025,w,45,25.9519,2072911,-1.21617,2.34704,GPC1
59229.33578,None,1.62137,-438.196,710.478,w,45,25.9471,2072938,-1.4778,2.39606,GPC1
59252.26077,25.7462,5.45209,52.1507,284.33,w,45,25.9063,2080567,0.18261,0.99561,GPC1
59252.27258,24.1546,1.14189,224.792,256.688,w,45,25.901,2080595,0.79099,0.90322,GPC1
59252.28443,None,2.09804,-114.621,240.48,w,45,25.899,2080622,-0.40407,0.84775,GPC1
59252.29625,23.7286,0.753504,331.714,249.948,w,45,25.8975,2080648,1.17098,0.88234,GPC1
59468.50935,None,7.18503,-90.7736,652.211,w,45,25.9363,2200595,-0.30919,2.22155,GPC1
59468.52099,None,2.34315,-216.734,507.842,w,45,25.9343,2200619,-0.7396,1.73299,GPC1
59468.5326,None,1.43734,-432.353,621.44,w,45,25.94,2200649,-1.46766,2.10953,GPC1
59468.54424,None,1.72714,-314.542,543.259,w,45,25.9427,2200677,-1.06509,1.83956,GPC1
59500.59201,23.7477,3.31145,326.215,1080.24,w,45,25.8984,2218693,1.15062,3.8102,GPC1
59500.60212,24.8111,6.7161,121.261,814.403,w,45,25.8873,2218740,0.4321,2.90206,GPC1
59500.61223,23.1964,1.85831,535.401,994.942,w,45,25.885,2218753,1.91191,3.55292,GPC1
59500.62239,None,0.926315,-546.658,506.377,w,45,25.8966,2218768,-1.93136,1.78905,GPC1
59519.38775,25.5841,4.32138,62.5164,270.157,w,45,25.941,2231616,0.21202,0.91623,GPC1
59519.39873,None,1.02808,-239.017,245.728,w,45,25.943,2231651,-0.80913,0.83184,GPC1
59519.40972,24.7628,2.4871,134.116,333.561,w,45,25.9484,2231669,0.45176,1.12358,GPC1
59519.42073,None,1.39619,-194.205,271.147,w,45,25.9463,2231699,-0.65543,0.91511,GPC1
59525.58868,None,3.59672,-355.272,1277.81,w,60,25.9119,2233815,-0.92822,3.33853,GPC1
59525.5895,None,1.37255,-981.532,1347.2,w,60,25.9179,2233806,-2.55031,3.50043,GPC1
59527.32098,24.0538,2.18557,201.462,440.308,w,45,25.6812,2235125,0.86796,1.89699,GPC1
59527.33259,None,2.12678,-221.403,470.874,w,45,25.856,2235160,-0.81203,1.727,GPC1
