 index, field, ccdid, qid, filter, pid, infobitssci, sciinpseeing, scibckgnd, scisigpix, zpmaginpsci, zpmaginpsciunc, zpmaginpscirms, clrcoeff, clrcoeffunc, ncalmatches, exptime, adpctdif1, adpctdif2, diffmaglim, zpdiff, programid, jd, rfid, forcediffimflux, forcediffimfluxunc, forcediffimsnr, forcediffimchisq, forcediffimfluxap, forcediffimfluxuncap, forcediffimsnrap, aperturecorr, dnearestrefsrc, nearestrefmag, nearestrefmagunc, nearestrefchi, nearestrefsharp, refjdstart, refjdend, procstatus
#
 19 506 3 3 ZTF_r 595491871115 0 1.7205 191.637 5.53954 26.1395 9.8167e-06 0.0219591 0.0909425 1.09614e-05 500 30. 0.046402 0.052333 20.5642 26.1395 1 2458349.991875 506120211 -18.2974996966903 19.0020206544931 -1.0711412979767 0.909611444076755 92.4051220936148 37.7316947898637 2.46549953362887 1.03313863530538 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 20 506 3 3 ZTF_g 598451941115 0 1.9946 93.6839 3.94522 26.1727 1.62998e-05 0.0283609 -0.0294871 1.85288e-05 494 30. 0.051612 0.050653 20.9985 26.1727 1 2458352.9519444 506120111 3.85962373202729 17.6887585832499 0.242718240120036 0.945341027229647 -36.9238110193792 31.1224918807256 -1.19439327523848 1.07082923585444 1.6949662104624 21.6250001907349 0.151999995112419 2.23699998855591 0.270999997854233 2458323.943912 2458431.907211 0
 21 506 3 3 ZTF_r 598507631115 0 1.5543 193.274 6.13328 26.1377 1.12751e-05 0.0236879 0.0928709 1.25197e-05 505 30. 0.043238 0.054031 20.472 26.1377 1 2458353.0076389 506120211 4.97751762524136 20.5492557414302 0.269445857154516 1.0209411063639 22.6613694678794 40.3401279005493 0.565540970799816 1.03480501620322 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 22 506 3 3 ZTF_r 601401781115 0 1.5141 187.625 12.5863 26.1007 1.58739e-05 0.0279892 0.100092 1.76706e-05 501 30. 0.060424 0.057943 19.7144 26.1007 1 2458355.9017824 506120211 -62.9276459978371 44.7734576178242 -1.56341996299494 0.886463836196824 -36.800385523545 92.0307828943802 -0.402563545285402 1.03253313085669 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 23 506 3 3 ZTF_r 602371421115 0 2.0565 189.439 14.9419 26.1266 1.78968e-05 0.0299381 0.104569 1.99263e-05 501 30. 0.058181 0.05947 19.3484 26.1266 1 2458356.8714236 506120211 59.5658359087705 61.6211584006822 1.07528152400942 0.957124043015545 -0.0694107712718886 114.217878803793 -0.000611797886125918 1.03915200807764 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 24 1500 10 2 ZTF_r 602385083815 0 2.4023 250.774 13.9684 26.25 1.66196e-05 0.0288784 0.102429 1.91427e-05 514 30. 0.052845 0.05843 19.6442 26.25 2 2458356.885081 1500120238 7.01474610090365 52.2475581477415 0.149348463677089 1.01344079140407 -3.4706289720043 96.7358750108976 -0.036119008148936 1.04022559315402 1.34320352116845 21.0810002326965 0.114000000059605 1.08000004291534 0.157000005245209 2458356.885081 2458728.016134 0
 25 506 3 3 ZTF_r 603393361115 0 1.9568 194.532 12.7546 26.1517 1.73333e-05 0.0291291 0.106992 1.9319e-05 499 30. 0.052907 0.051151 19.6101 26.1517 1 2458357.8933681 506120211 30.6755846505934 53.2575507253937 0.640717314221322 0.920449440606727 -21.6625637185122 97.4749660306676 -0.223733982370905 1.04839489799595 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 26 1500 10 2 ZTF_r 603394293815 0 1.9602 255.799 12.597 26.2436 1.16095e-05 0.0242253 0.109151 1.34807e-05 515 30. 0.047677 0.049946 19.8872 26.2436 2 2458357.894294 1500120238 47.2120124022483 41.5799655620209 1.26305769285234 1.07658475702628 94.8042385164725 78.4857936249138 1.21605128914868 1.03977574615873 1.34320352116845 21.0810002326965 0.114000000059605 1.08000004291534 0.157000005245209 2458356.885081 2458728.016134 0
 27 506 3 3 ZTF_r 604457231115 0 2.0816 199.288 10.8666 26.1735 1.22111e-05 0.0245362 0.103236 1.3695e-05 499 30. 0.049046 0.051229 19.7787 26.1735 1 2458358.9572338 506120211 -38.930876986855 46.5796878746696 -0.929720515037182 0.960770770909418 8.16036097262633 83.0703391621245 0.0988959664321237 1.05345480013163 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
 28 506 3 3 ZTF_r 605431371115 0 2.2952 108.612 23.4831 25.5311 6.71373e-05 0.0449715 0.0864215 8.55794e-05 311 30. 0.054573 0.057063 18.1504 25.5311 1 2458359.9313773 506120211 7.57547868218306 103.1752358382 0.0816750504177093 1.00708415079635 7.69209073865184 175.092719184716 0.0442274096170206 1.05868909715576 1.29227778516566 20.8949998855591 0.0649999976158142 0.935000002384186 0.0489999987185001 2458340.956678 2458437.829097 0
