x L L_unc
2.7941642497390116 1.0004586803168696e+47 4.094605074983608e+45
2.7955151960353186 1.0714711232042252e+47 2.4844141060651886e+45
2.7968661423316257 1.1697020373804658e+47 2.6320351288607738e+45
2.8738700811846254 1.8378262119335356e+47 5.0565350133573143e+45
2.875221027480932 1.3210648994173359e+47 3.193736889299379e+45
2.9035908996901068 1.255713621779363e+47 3.3299737968681373e+45
2.904941845983096 1.1167210661152508e+47 3.454510589640604e+45
2.9334753093470107 9.46882049060076e+46 2.268672542376453e+45
2.9348262556433173 8.272987822442227e+46 2.120581886512288e+45
2.936177201936307 7.604408648880864e+46 2.0330900016743872e+45
2.9375281482326137 7.506567794213348e+46 2.0199683650398366e+45
2.9388790945289207 7.240223245396219e+46 1.9838089066189683e+45
2.9402300408252273 7.288884897683046e+46 2.006199376084356e+45
2.9415809871215344 7.196738421099545e+46 1.9778425659135142e+45
2.9429319334145236 7.495696588139179e+46 2.018505083384231e+45
2.9442828797108307 8.126226540440951e+46 2.1016884051610826e+45
2.9456338260071377 8.255065328102055e+46 3.939927639105464e+45
2.963196127852492 8.487037915429066e+46 2.256201783043439e+45
2.9713018056236984 6.723131647834319e+46 2.2548660227450957e+45
2.972652751920005 7.321757290952483e+46 1.994947845337847e+45
2.974003698216312 7.327975190862214e+46 2.7084974359052146e+45
2.9988695534714105 6.420360343613745e+46 1.854944816396386e+45
3.000220499767717 6.162823931649205e+46 1.8102479228069077e+45
3.001571446060707 6.136237115723194e+46 1.8063389679598757e+45
3.0029223923570134 6.274488558538449e+46 1.8265742140075664e+45
3.0042733386533205 6.625434528761785e+46 1.8769614148111892e+45
3.005624284949627 7.202223686798801e+46 4.2220180934310234e+45
3.029941318269881 7.046444807693262e+46 2.0833250621543713e+45
3.031292264566188 7.449625822468108e+46 1.990285608146205e+45
3.0326432108624948 7.566607812542553e+46 2.0058514472830618e+45
3.033994157158802 7.577242538912957e+46 2.007260585849941e+45
3.0596621367753625 9.999914861887983e+46 3.6178422756221766e+45
3.0610130830716695 1.009767268869874e+47 2.3171749237833652e+45
3.062364029367976 1.0528379106700108e+47 2.3660773262122138e+45
3.063714975664283 1.0799210224812025e+47 2.6457845365539215e+45
3.119103773786325 7.350722997041786e+46 2.294860960010991e+45
3.1204547200793145 7.311374379652854e+46 1.971731105176845e+45
3.1218056663756215 7.960092688247507e+46 2.0573455531046004e+45
3.1231566126719286 7.61797631902616e+46 3.084428459484567e+45
3.148824592288489 9.80320487864479e+46 2.3434140697074132e+45
3.150175538584796 9.27348139499242e+46 2.2205960917913964e+45
3.151526484881103 9.592523186104543e+46 2.258471432191851e+45
3.15287743117741 1.0034319993190673e+47 4.417363198080748e+45
3.174492571908367 1.0664477510735417e+47 2.984311466556644e+45
3.175843518201357 1.0395445027070057e+47 2.3510924245815526e+45
3.1771944644976635 9.916882340401871e+46 2.296337644733444e+45
3.1785454107939706 1.0384810300699653e+47 2.349889575624939e+45
3.179896357090277 1.0572105850881545e+47 2.7028117475758818e+45
3.2055643367068383 1.0049816420031921e+47 2.3116773158118484e+45
3.206915283003145 1.001791224092071e+47 2.3080050767712866e+45
3.208266229299452 9.895612887661062e+46 2.2938737313648124e+45
3.2096171755957585 1.0193259302148354e+47 3.3053907986079227e+45
3.232583262619706 1.0497292783742872e+47 5.242098106492588e+45
3.2339342089160126 1.1033831086252838e+47 2.4709489194003423e+45
3.2352851552123196 1.1288762042184007e+47 2.4500294896206693e+45
3.2366361015086262 1.2644689654410535e+47 2.5929983316002366e+45
3.237987047801616 1.2495803485224876e+47 2.5776874639875725e+45
3.2393379940979226 1.2639372291225331e+47 2.5924530941642542e+45
3.2406889403942296 1.2368552856772758e+47 3.110663142899839e+45
3.2623040811251873 1.0411003117668948e+47 3.622451235823217e+45
3.263655027421494 1.0384810300699653e+47 2.349889575624939e+45
3.265005973717801 1.0384810300699653e+47 2.349889575624939e+45
3.2663569200107903 1.0390127663884855e+47 2.350491000103246e+45
3.2677078663070973 1.1162208538739323e+47 3.634915428518999e+45
3.270409758899711 1.2239470490172611e+47 3.789836288891574e+45
3.2920248996306687 1.0262435652746465e+47 3.1476307684468626e+45
3.2933758459269753 1.0430809516623203e+47 2.373705782124578e+45
3.294726792219965 1.0565600648996523e+47 2.3702560599989246e+45
3.2960777385162716 1.1565264927814514e+47 2.4798530442989027e+45
3.2974286848125787 1.2267805960446882e+47 2.6054576561046258e+45
3.325798557021753 8.952803242480161e+46 3.061794209286815e+45
3.32714950331806 9.693553086623382e+46 2.2703335918854015e+45
