Results from heasarc_swiftxrlog: Swift XRT Instrument Log
Coordinate system:  Equatorial
|target_id|obsid      |ra         |dec        |start_time           |exposure  |window_size|operation_mode|pointing_mode|flipflop|
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 17:46:16.2| 454.50552|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 19:32:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 19:33:38.2| 127.93693|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 19:35:46.1|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 19:36:00.4| 412.05133|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 22:30:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 22:31:38.2| 133.27455|200        |WINDOWED      |slewing      |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 22:33:51.4|  11.74225|200        |WINDOWED      |settling     |N       |
|    15367|00015367004|03 20 08.76|+08 44 52.7|2022-10-09 22:34:05.4| 347.12274|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 09:43:19.4|  12.48625|           |BIASIMA       |slewing      |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|  2022-10-10 09:44:01| 199.45791|200        |WINDOWED      |slewing      |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 09:47:20.4|  10.67473|200        |WINDOWED      |settling     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 09:47:33.8| 976.43627|600x600    |PHOTON        |pointing     |N       |
|    15367|00015367005|03 20 09.66|+08 48 38.6|2022-10-10 14:30:56.6|  12.48625|           |BIASIMA       |slewing      |N       |
