Start Date,dt_rest,t_exp,Filter,fnu,e_fnu,Instrument,Flare?
(UT),(days),(sec.),,(uJy),(uJy),,
2022-10-19 10:42:13,41.97282,300.0,i,3.96,0.14,KeckI/LRIS,*  
2022-10-19 10:42:15,41.97284,300.0,g,2.54,0.07,KeckI/LRIS,*  
2022-10-19 10:48:26,41.97714,300.0,i,3.10,0.16,KeckI/LRIS,*  
2022-10-19 10:48:28,41.97716,300.0,g,2.12,0.07,KeckI/LRIS,*  
2022-10-19 10:54:52,41.98161,300.0,i,2.72,0.14,KeckI/LRIS,*  
2022-10-19 10:54:54,41.98163,300.0,g,1.91,0.06,KeckI/LRIS,*  
2022-10-21 07:56:46,43.85792,30.0,r_ZTF,4.94,4.73,ZTF,  
2022-10-24 09:11:31,46.90983,30.0,r_ZTF,-1.67,4.03,ZTF,  
2022-10-24 10:18:34,46.95639,30.0,g_ZTF,2.84,4.10,ZTF,  
2022-10-26 07:35:57,48.84347,30.0,r_ZTF,2.86,3.47,ZTF,  
2022-10-26 09:29:32,48.92234,30.0,g_ZTF,1.01,2.67,ZTF,  
2022-10-28 07:48:23,50.85209,30.0,i_ZTF,3.03,6.53,ZTF,  
2022-10-28 08:11:14,50.86796,30.0,r_ZTF,-2.98,3.31,ZTF,  
2022-10-28 09:08:10,50.90750,30.0,g_ZTF,-1.34,2.70,ZTF,  
2022-10-29 04:45:27,51.72507,30.0,r_ZTF,15.52,4.23,ZTF,  
2022-10-29 04:52:27,51.72992,30.0,r_ZTF,5.65,4.46,ZTF,  
2022-10-30 08:02:41,52.86203,30.0,r_ZTF,-4.97,4.07,ZTF,  
2022-10-30 09:17:56,52.91428,30.0,g_ZTF,-1.08,4.15,ZTF,  
2022-10-31 04:47:07,53.72623,30.0,r_ZTF,-1.75,4.82,ZTF,  
2022-10-31 04:54:08,53.73109,30.0,r_ZTF,1.41,4.87,ZTF,  
2022-11-04 06:06:35,57.78141,30.0,g_ZTF,7.75,7.29,ZTF,  
2022-11-04 07:20:34,57.83279,30.0,r_ZTF,11.80,5.20,ZTF,  
2022-11-06 05:55:53,59.77397,30.0,g_ZTF,8.09,7.62,ZTF,  
2022-11-06 07:51:37,59.85434,30.0,r_ZTF,-0.07,6.34,ZTF,  
2022-11-11 09:44:57,64.93304,30.0,g_ZTF,9.38,8.93,ZTF,  
2022-11-14 05:57:03,67.77478,30.0,g_ZTF,1.61,3.73,ZTF,  
2022-11-14 06:52:40,67.81340,30.0,r_ZTF,0.83,4.36,ZTF,  
2022-11-16 06:06:01,69.78102,30.0,g_ZTF,1.09,4.77,ZTF,  
2022-11-16 07:10:16,69.82563,30.0,r_ZTF,4.93,9.01,ZTF,  
2022-11-16 07:55:06,69.85677,45,w,1.05,2.37,PS1 GPC1,  
2022-11-16 08:11:54,69.86843,45,w,2.34,2.38,PS1 GPC1,  
2022-11-16 08:28:41,69.88009,45,w,7.89,1.23,PS1 GPC1,*  
2022-11-16 08:45:31,69.89178,45,w,2.64,1.39,PS1 GPC1,  
2022-11-18 06:36:18,71.80205,30.0,r_ZTF,4.44,3.11,ZTF,  
2022-11-18 07:19:57,71.83236,30.0,g_ZTF,3.05,2.94,ZTF,  
2022-11-20 06:05:53,73.78093,30.0,g_ZTF,1.34,3.50,ZTF,  
2022-11-20 07:47:03,73.85117,30.0,r_ZTF,-0.75,3.82,ZTF,  
2022-11-22 07:03:52,75.82119,30.0,g_ZTF,-2.77,4.13,ZTF,  
2022-11-22 07:35:03,75.84285,30.0,r_ZTF,4.65,2.78,ZTF,  
2022-11-24 05:59:19,77.77637,30.0,i_ZTF,-8.04,6.17,ZTF,  
2022-11-25 05:16:25,78.74656,30.0,r_ZTF,3.08,4.72,ZTF,  
2022-11-26 08:38:02,79.88658,45,w,9.89,1.26,PS1 GPC1,*  
2022-11-26 08:55:23,79.89863,45,w,2.56,1.49,PS1 GPC1,  
2022-11-26 09:14:48,79.91211,45,w,0.74,1.25,PS1 GPC1,  
2022-11-26 09:37:09,79.92764,45,w,1.16,2.13,PS1 GPC1,  
2022-11-27 05:21:16,80.74994,30.0,g_ZTF,1.89,2.52,ZTF,  
2022-11-27 06:26:27,80.79520,30.0,r_ZTF,1.59,3.35,ZTF,  
2022-11-30 06:53:33,83.81402,30.0,r_ZTF,-3.15,3.93,ZTF,  
2022-11-30 07:43:35,83.84877,30.0,g_ZTF,-0.31,3.12,ZTF,  
2022-12-09 05:06:35,92.73973,30.0,g_ZTF,-5.52,8.56,ZTF,  
2022-12-09 06:59:48,92.81836,30.0,r_ZTF,-0.74,4.66,ZTF,  
2022-12-15 04:29:57,98.71430,180.0,g,2.92,0.18,Magellan/IMACS,*  
2022-12-15 04:34:20,98.71735,180.0,g,8.68,0.18,Magellan/IMACS,*  
2022-12-15 04:40:54,98.72191,180.0,g,15.50,0.22,Magellan/IMACS,*  
2022-12-15 04:46:20,98.72568,180.0,g,5.50,0.24,Magellan/IMACS,*  
2022-12-15 04:50:45,98.72875,180.0,g,0.53,0.26,Magellan/IMACS,  
2022-12-15 05:44:28,98.76605,30.0,r_ZTF,-2.19,3.66,ZTF,  
2022-12-15 20:48:52,99.39410,120.0,g,0.83,1.17,LT/IO:O,  
2022-12-15 20:53:31,99.39733,120.0,g,1.27,0.98,LT/IO:O,  
2022-12-15 20:55:52,99.39897,120.0,g,0.13,0.99,LT/IO:O,  
2022-12-15 21:05:08,99.40540,120.0,g,-0.87,0.95,LT/IO:O,  
2022-12-15 21:07:26,99.40700,120.0,g,2.35,1.10,LT/IO:O,  
2022-12-15 22:35:36,99.46823,120.0,g,3.19,0.99,LT/IO:O,  
2022-12-15 22:37:56,99.46984,120.0,g,3.41,1.14,LT/IO:O,  
2022-12-15 22:40:16,99.47146,120.0,g,3.99,1.02,LT/IO:O,  
2022-12-15 22:42:37,99.47310,120.0,g,1.22,1.20,LT/IO:O,  
2022-12-15 22:44:57,99.47472,120.0,g,0.32,1.07,LT/IO:O,  
2022-12-15 22:47:18,99.47635,120.0,g,2.05,1.08,LT/IO:O,  
2022-12-16 20:33:52,100.38369,120.0,g,7.04,0.60,LT/IO:O,*  
2022-12-16 20:36:11,100.38530,120.0,g,11.40,0.41,LT/IO:O,*  
2022-12-16 20:38:30,100.38691,120.0,g,8.63,0.43,LT/IO:O,*  
2022-12-16 20:40:49,100.38851,120.0,g,7.21,0.47,LT/IO:O,*  
2022-12-16 20:43:09,100.39013,120.0,g,9.35,0.49,LT/IO:O,*  
2022-12-16 20:45:28,100.39174,120.0,g,9.40,0.46,LT/IO:O,*  
2022-12-16 23:50:44,100.52040,60.0,g,0.06,0.56,NOT/ALFOSC,  
2022-12-16 23:52:10,100.52140,60.0,g,-0.21,0.46,NOT/ALFOSC,  
